Code,Site,Year,Type,Surrogate,Pesticide,Flag,Concentration
MEBC4P Duplicate,MEBC,1995,NA,76,cis_Chlordane,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Transnonachlor,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,pp_DDE,FALSE,5.4
MEBC4P Duplicate,MEBC,1995,NA,76,Dieldrin,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,op_DDD,FALSE,2.7
MEBC4P Duplicate,MEBC,1995,NA,76,b_Endosulfan,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,pp_DDD,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,op_DDT,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,pp_DDT,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Mirex,TRUE,2
MEBC4P Duplicate,MEBC,1995,NA,76,Total,FALSE,8.1
MERY 1,MERY,1999,NA,105,HCB,TRUE,1.2
MERY 1,MERY,1999,NA,105,g_HCH,TRUE,1.2
MERY 1,MERY,1999,NA,105,Heptachlor,TRUE,1
MERY 1,MERY,1999,NA,105,Aldrin,TRUE,1.5
MERY 1,MERY,1999,NA,105,Heptachlor Epoxide,TRUE,1.2
MERY 1,MERY,1999,NA,105,op_DDE,TRUE,1.2
MERY 1,MERY,1999,NA,105,a_Endosulfan,TRUE,1.2
MERY 1,MERY,1999,NA,105,cis_Chlordane,TRUE,1
MERY 1,MERY,1999,NA,105,Transnonachlor,TRUE,1
MERY 1,MERY,1999,NA,105,pp_DDE,FALSE,7.8
MERY 1,MERY,1999,NA,105,Dieldrin,TRUE,1.2
MERY 1,MERY,1999,NA,105,op_DDD,TRUE,1
MERY 1,MERY,1999,NA,105,b_Endosulfan,TRUE,2
MERY 1,MERY,1999,NA,105,pp_DDD,TRUE,1.5
MERY 1,MERY,1999,NA,105,op_DDT,TRUE,1.2
MERY 1,MERY,1999,NA,105,pp_DDT,TRUE,1
MERY 1,MERY,1999,NA,105,Mirex,TRUE,1.5
MERY 1,MERY,1999,NA,105,Total,FALSE,7.8
MERY 2,MERY,1999,NA,104,HCB,TRUE,1.2
MERY 2,MERY,1999,NA,104,g_HCH,TRUE,1.2
MERY 2,MERY,1999,NA,104,Heptachlor,TRUE,1
MERY 2,MERY,1999,NA,104,Aldrin,TRUE,1.5
MERY 2,MERY,1999,NA,104,Heptachlor Epoxide,TRUE,1.2
MERY 2,MERY,1999,NA,104,op_DDE,TRUE,1.2
MERY 2,MERY,1999,NA,104,a_Endosulfan,TRUE,1.2
MERY 2,MERY,1999,NA,104,cis_Chlordane,TRUE,1
MERY 2,MERY,1999,NA,104,Transnonachlor,TRUE,1
MERY 2,MERY,1999,NA,104,pp_DDE,FALSE,3.8
MERY 2,MERY,1999,NA,104,Dieldrin,TRUE,1.2
MERY 2,MERY,1999,NA,104,op_DDD,TRUE,1
MERY 2,MERY,1999,NA,104,b_Endosulfan,TRUE,2
MERY 2,MERY,1999,NA,104,pp_DDD,TRUE,1.5
MERY 2,MERY,1999,NA,104,op_DDT,TRUE,1.2
MERY 2,MERY,1999,NA,104,pp_DDT,TRUE,1
MERY 2,MERY,1999,NA,104,Mirex,TRUE,1.5
MERY 2,MERY,1999,NA,104,Total,FALSE,3.8
MERY 3,MERY,1999,NA,100,HCB,TRUE,1.2
MERY 3,MERY,1999,NA,100,g_HCH,TRUE,1.2
MERY 3,MERY,1999,NA,100,Heptachlor,TRUE,1
MERY 3,MERY,1999,NA,100,Aldrin,TRUE,1.5
MERY 3,MERY,1999,NA,100,Heptachlor Epoxide,TRUE,1.2
MERY 3,MERY,1999,NA,100,op_DDE,TRUE,1.2
MERY 3,MERY,1999,NA,100,a_Endosulfan,TRUE,1.2
MERY 3,MERY,1999,NA,100,cis_Chlordane,TRUE,1
MERY 3,MERY,1999,NA,100,Transnonachlor,TRUE,1
MERY 3,MERY,1999,NA,100,pp_DDE,FALSE,6.1
MERY 3,MERY,1999,NA,100,Dieldrin,TRUE,1.2
MERY 3,MERY,1999,NA,100,op_DDD,TRUE,1
MERY 3,MERY,1999,NA,100,b_Endosulfan,TRUE,2
MERY 3,MERY,1999,NA,100,pp_DDD,TRUE,1.5
MERY 3,MERY,1999,NA,100,op_DDT,TRUE,1.2
MERY 3,MERY,1999,NA,100,pp_DDT,TRUE,1
MERY 3,MERY,1999,NA,100,Mirex,TRUE,1.5
MERY 3,MERY,1999,NA,100,Total,FALSE,6.1
MERY 4,MERY,1999,NA,116,HCB,TRUE,1.2
MERY 4,MERY,1999,NA,116,g_HCH,TRUE,1.2
MERY 4,MERY,1999,NA,116,Heptachlor,TRUE,1
MERY 4,MERY,1999,NA,116,Aldrin,TRUE,1.5
